Filename,Video Title,Vimeo URL,Location,Group,Curriculum Components,Coherence A,Coherence B,Coherence C,Working with Units A,Working with Units B,Models A,Models B,Domains/ Conceptual Categories A,Domains/ Conceptual Categories B,Domains/ Conceptual Categories C,Grade A,Grade B,Grade C ,Grade Band A,Grade Band B,Grade Band C,Grade Band D,Module A,Module B,Module C,Lesson A,Lesson B,Lesson C,Lesson D,Lesson E,Lesson F,Lesson G,Lesson H,Misc. A,Misc. B,Misc. C,Misc D. 
GPKM3_TD_L19,Tallying Restaurant Orders (GPK-M3-L19),https://vimeo.com/126544101,8,Blue,Conceptual Development,Grade-Level Sequences,Moving from Concrete to Pictorial to Abstract ,,Manipulation of Units using the Properties of Operations,,Base-Ten Models - money,Number Bond,CC (Counting & Cardinality),RP (Ratios & Proportional Relationships),G (Geometry),G11,G12,,9-12 GB,,,,M3,M7,,L19,L6,L25,,,,,,,,,
GPKM3_TD_L20,Balance and Count to 9 and 10 (GPK-M3-L20),https://vimeo.com/126544102,8,Purple,Fluency,Grade-Level Sequences,,,Manipulation of Units using the Properties of Operations,,Place Value Chart,Tape Diagram,CC (Counting & Cardinality),MD (Measurement & Data),G (Geometry),G11,G12,,9-12 GB,,,,M3,M7,M8,L20,L11,L25,,,,,,,,,
GPKM3_TE_L24,Observe How Students use 2 Color Cubes to Make Their Towers (GPK-M3-L24),https://vimeo.com/126544103,9,Purple,Fluency,Grade-Level Sequences,,,Manipulation of Units using the Properties of Operations,,Rekenrek,,CC (Counting & Cardinality),MD (Measurement & Data),,G11,G12,,9-12 GB,,,,M3,M7,,L24,,,,,,,,"GPK-M4-L19, GPK-M4-L20, GPK-M4-L24, GPK-M4-L26",,,
GPKM3_TE_L25,Array and Linear Configurations of 9 (GPK-M3-L25),https://vimeo.com/126544104,9,Purple,Fluency,Cross-Grade Coherence,Grade-Level Sequences,Moving from Concrete to Pictorial to Abstract ,Manipulation of Units using the Properties of Operations,Fractional Units,Number Bond,Number Path and Number Line,CC (Counting & Cardinality),OA (Operations & Algebraic Thinking),,G11,G12,,9-12 GB,,,,M3,M7,,L25,,,,,,,,"GPK-M4-L27, GPK-M5-L6",,,
GPKM3_TG_L30,Count How Many Times an Object is Caught (GPK-M3-L30),https://vimeo.com/126544107,9,Purple,Fluency,Grade-Level Sequences,,,Manipulation of Units using the Properties of Operations,Fractional Units,Number Path and Number Line,Place Value Chart,CC (Counting & Cardinality),MD (Measurement & Data),,G11,G12,,9-12 GB,,,,M3,M7,,L30,L25,,,,,,,,,,
GPKM3_TG_L32,Mental Math (GPK-M3-L32),https://vimeo.com/126550801,9,Purple,Fluency,Grade-Level Sequences,,,Manipulation of Units using the Properties of Operations,Fractional Units,Number Stairs,Base-Ten Models - money,CC (Counting & Cardinality),NS (The Number System),,G11,G12,,9-12 GB,,,,M3,M7,,L32,L13,L23,,,,,,,,,
GPKM3_TG_L34,Matching and Counting 10 Socks in an Array (GPK-M3-L34),https://vimeo.com/126550804,9,Purple,Conceptual Development,Cross-Grade Coherence,Grade-Level Sequences,Moving from Concrete to Pictorial to Abstract ,Manipulation of Units using the Properties of Operations,Fractional Units,Place Value Chart,Rekenrek,CC (Counting & Cardinality),NS (The Number System),G (Geometry),G11,G12,,9-12 GB,,,,M3,M7,,L34,L25,,,,,,,,,,
GPKM3_TH_L35,Counting 10 in an Array (GPK-M3-L35),https://vimeo.com/126550805,9,Purple,Fluency,Cross-Grade Coherence,,,Manipulation of Units using the Properties of Operations,Fractional Units,Base-Ten Models - five group,Base-Ten Models - money,CC (Counting & Cardinality),OA (Operations & Algebraic Thinking),,G11,G12,,9-12 GB,,,,M3,M7,,L35,,,,,,,,,,,
GPKM3_TH_L38,Moving between 4 and 5 on fingers (GPK-M3-L38),https://vimeo.com/126550806,9,Purple,Fluency,Cross-Grade Coherence,,,Manipulation of Units using the Properties of Operations,Fractional Units,Number Path and Number Line,Place Value Chart,CC (Counting & Cardinality),NBT (Number & Operations in Base Ten),RP (Ratios & Proportional Relationships),G11,G12,,9-12 GB,,,,M3,M7,M1,L38,L39,L40,L41,,,,,,,,
GPKM3_TH_L39,1 More and 2 More with up to 5 Fingers (GPK-M3-L39),https://vimeo.com/126550807,9,Purple,Fluency,Grade-Level Sequences,,,Manipulation of Units using the Properties of Operations,Fractional Units,Base-Ten Models - ten-frame,Base-Ten Models - money,CC (Counting & Cardinality),MD (Measurement & Data),NS (The Number System),G11,G12,,9-12 GB,,,,M3,M7,,L39,L38,L40,L41,,,,,,,,
GPKM3_TH_L40,6 as 5 and 1 more on fingers (GPK-M3-L40),https://vimeo.com/126552429,9,Purple,Fluency,Cross-Grade Coherence,Grade-Level Sequences,Moving from Concrete to Pictorial to Abstract ,Manipulation of Units using the Properties of Operations,Fractional Units,Base-Ten Models - place value disks,Place Value Chart,CC (Counting & Cardinality),NS (The Number System),,G11,G12,,9-12 GB,,,,M3,M7,M8,L40,L38,L39,L41,,,,,,,,
GPKM3_TH_L41,Numbers in relationship to 5 on fingers (GPK-M3-L41),https://vimeo.com/126552431,9,Purple,Fluency,Cross-Grade Coherence,,,Manipulation of Units using the Properties of Operations,Fractional Units,Base-Ten Models - money,Number Bond,CC (Counting & Cardinality),MD (Measurement & Data),NBT (Number & Operations in Base Ten),G12,,,9-12 GB,,,,M3,M7,M8,L41,L38,L39,L40,,,,,,,,
GPKM3_TH_L42,Creating a number book for 6-10 and 0 (GPK-M3-L42),https://vimeo.com/126552432,9,Purple,Fluency,Cross-Grade Coherence,Grade-Level Sequences,,Manipulation of Units using the Properties of Operations,Fractional Units,Base-Ten Models - ten-frame,Base-Ten Models - five group,CC (Counting & Cardinality),NBT (Number & Operations in Base Ten),G (Geometry),G12,,,9-12 GB,,,,M3,M7,M8,L42,,,,,,,,,,,
